hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
ARCHER2,AOCC 2.1,4,PRIVATE 19683,0.4043,Array
ARCHER2,AOCC 2.1,4,FIRSTPRIVATE 19683,3.8236,Array
ARCHER2,AOCC 2.1,4,COPYPRIVATE 19683,7.6694,Array
ARCHER2,AOCC 2.1,4,COPYIN 19683,5.0734,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,64,PRIVATE 19683,304.3602,Array
ARCHER2,AOCC 2.1,64,FIRSTPRIVATE 19683,385.2675,Array
ARCHER2,AOCC 2.1,64,COPYPRIVATE 19683,559.4824,Array
ARCHER2,AOCC 2.1,64,COPYIN 19683,243.4799,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,8,PRIVATE 19683,0.7526,Array
ARCHER2,AOCC 2.1,8,FIRSTPRIVATE 19683,7.5602,Array
ARCHER2,AOCC 2.1,8,COPYPRIVATE 19683,20.0575,Array
ARCHER2,AOCC 2.1,8,COPYIN 19683,8.9938,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,Cray 10.0,1,PRIVATE 19683,0.0983,Array
ARCHER2,Cray 10.0,1,FIRSTPRIVATE 19683,3.1185,Array
ARCHER2,Cray 10.0,1,COPYPRIVATE 19683,0.1274,Array
ARCHER2,Cray 10.0,1,COPYIN 19683,0.1115,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,Cray 10.0,128,PRIVATE 19683,218.3116,Array
ARCHER2,Cray 10.0,128,FIRSTPRIVATE 19683,233.0655,Array
ARCHER2,Cray 10.0,128,COPYPRIVATE 19683,134.7965,Array
ARCHER2,Cray 10.0,128,COPYIN 19683,89.9839,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,Cray 10.0,16,PRIVATE 19683,2.5449,Array
ARCHER2,Cray 10.0,16,FIRSTPRIVATE 19683,6.1361,Array
ARCHER2,Cray 10.0,16,COPYPRIVATE 19683,54.5334,Array
ARCHER2,Cray 10.0,16,COPYIN 19683,7.68,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,Cray 10.0,2,PRIVATE 19683,0.8912,Array
ARCHER2,Cray 10.0,2,FIRSTPRIVATE 19683,4.2254,Array
ARCHER2,Cray 10.0,2,COPYPRIVATE 19683,5.0913,Array
ARCHER2,Cray 10.0,2,COPYIN 19683,4.4702,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,Cray 10.0,32,PRIVATE 19683,1.5063,Array
